"","X.1","ID","Track","Slice","X","Y","Distance","Velocity","PixelValue","TrackNumber","Concatenated"
"1305",1,2,"Head Before",2,216.621,264.759,3.79,2.527,-8092783,311,"Head Before 311"
"1306",2,3,"Head Before",3,212.214,265.437,4.459,2.973,-7895410,311,"Head Before 311"
"1307",3,4,"Head Before",4,212.214,265.437,0,0,-8617595,311,"Head Before 311"
"1308",4,5,"Head Before",5,212.214,268.149,2.712,1.808,-8092013,311,"Head Before 311"
"1309",5,6,"Head Before",6,212.214,272.556,4.407,2.938,-8289909,311,"Head Before 311"
"1310",6,7,"Head Before",7,212.214,278.319,5.763,3.842,-8223346,311,"Head Before 311"
"1311",7,8,"Head Before",8,211.536,311.541,33.229,22.153,-8484475,311,"Head Before 311"
"1312",8,9,"Head Before",9,198.993,344.424,35.194,23.463,-8353907,311,"Head Before 311"
"1313",9,10,"Head Before",10,200.349,360.696,16.328,10.886,-8683399,311,"Head Before 311"
"1314",10,11,"Head Before",11,198.993,360.018,1.516,1.011,-9078395,311,"Head Before 311"
"1315",11,12,"Head Before",12,198.993,360.018,0,0,-8876654,311,"Head Before 311"
"1316",12,13,"Head Before",13,198.993,360.018,0,0,-9800828,311,"Head Before 311"
"1317",13,14,"Head Before",14,198.993,356.967,3.051,2.034,-9406842,311,"Head Before 311"
"1318",14,15,"Head Before",15,177.636,396.969,45.346,30.231,-9074807,311,"Head Before 311"
"1319",15,16,"Head Before",16,171.873,416.97,20.815,13.876,-9009530,311,"Head Before 311"
"1320",16,17,"Head Before",17,175.941,420.36,5.295,3.53,-9009515,311,"Head Before 311"
"1321",17,18,"Head Before",18,176.958,416.97,3.539,2.36,-10191744,311,"Head Before 311"
"1322",18,19,"Head Before",19,190.179,421.038,13.833,9.222,-9272936,311,"Head Before 311"
"1323",19,20,"Head Before",20,183.06,419.682,7.247,4.831,-9994620,311,"Head Before 311"
"1324",20,21,"Head Before",21,184.755,420.36,1.826,1.217,-9731185,311,"Head Before 311"
"1325",21,22,"Head Before",22,192.552,417.648,8.255,5.503,-9208679,311,"Head Before 311"
"1326",22,23,"Head Before",23,208.824,416.292,16.328,10.886,-9995386,311,"Head Before 311"
"1327",23,24,"Head Before",24,252.894,404.088,45.729,30.486,-9729906,311,"Head Before 311"
"1328",24,25,"Head Before",25,273.573,387.816,26.313,17.542,-9469806,311,"Head Before 311"
"1329",25,26,"Head Before",26,280.692,376.968,12.975,8.65,-9995123,311,"Head Before 311"
"1330",26,27,"Head Before",27,304.083,346.458,38.445,25.63,-9600104,311,"Head Before 311"
"1331",27,28,"Head Before",28,328.83,304.422,48.779,32.52,-10126198,311,"Head Before 311"
"1332",28,29,"Head Before",29,351.543,267.471,43.373,28.916,-10060916,311,"Head Before 311"
"1333",29,30,"Head Before",30,376.629,278.319,27.331,18.221,-9797756,311,"Head Before 311"
"1334",30,31,"Head Before",31,383.748,287.472,11.596,7.73,-9141100,311,"Head Before 311"
"1335",31,32,"Head Before",32,383.07,291.879,4.459,2.973,-9665667,311,"Head Before 311"
"1336",32,33,"Head Before",33,392.901,288.828,10.294,6.862,-9339752,311,"Head Before 311"
"1337",33,34,"Head Before",34,393.579,295.947,7.151,4.767,-9468525,311,"Head Before 311"
"1338",34,35,"Head Before",35,373.578,310.185,24.551,16.367,-11309467,311,"Head Before 311"
"1339",35,36,"Head Before",36,372.9,302.388,7.826,5.218,-9606523,311,"Head Before 311"
"1340",36,37,"Head Before",37,386.46,287.472,20.158,13.439,-9340012,311,"Head Before 311"
"1341",37,38,"Head Before",38,377.985,284.76,8.898,5.932,-9600112,311,"Head Before 311"
"1342",38,39,"Head Before",39,377.307,288.15,3.457,2.305,-9207410,311,"Head Before 311"
"1343",39,40,"Head Before",40,370.188,301.032,14.718,9.812,-9995899,311,"Head Before 311"
"1344",40,41,"Head Before",41,364.425,309.507,10.249,6.833,-9536629,311,"Head Before 311"
"1345",41,42,"Head Before",42,352.221,311.541,12.372,8.248,-9209455,311,"Head Before 311"
"1346",42,43,"Head Before",43,335.949,311.541,16.272,10.848,-9667444,311,"Head Before 311"
"1347",43,44,"Head Before",44,337.305,310.863,1.516,1.011,-9405553,311,"Head Before 311"
"1348",44,45,"Head Before",45,344.424,315.27,8.373,5.582,-9800048,311,"Head Before 311"
"1349",45,46,"Head Before",46,343.068,312.219,3.339,2.226,-9469804,311,"Head Before 311"
"1350",46,47,"Head Before",47,345.102,312.219,2.034,1.356,-9601644,311,"Head Before 311"
"1351",47,48,"Head Before",48,342.39,310.863,3.032,2.021,-10324084,311,"Head Before 311"
"1352",48,49,"Head Before",49,346.119,310.185,3.79,2.527,-10390910,311,"Head Before 311"
"1353",49,50,"Head Before",50,343.068,310.185,3.051,2.034,-9930098,311,"Head Before 311"
"1354",50,51,"Head Before",51,346.119,315.948,6.521,4.347,-9666158,311,"Head Before 311"
"1355",51,52,"Head Before",52,345.102,317.982,2.274,1.516,-9601634,311,"Head Before 311"
"1356",52,53,"Head Before",53,343.746,317.982,1.356,0.904,-9535597,311,"Head Before 311"
"1357",53,54,"Head Before",54,342.39,318.66,1.516,1.011,-9601903,311,"Head Before 311"
"1358",54,55,"Head Before",55,339.678,321.033,3.604,2.402,-9273454,311,"Head Before 311"
"1359",55,56,"Head Before",56,347.475,317.304,8.643,5.762,-9928566,311,"Head Before 311"
"1360",56,57,"Head Before",57,332.559,303.066,20.621,13.747,-9537911,311,"Head Before 311"
"1361",57,58,"Head Before",58,324.762,298.998,8.794,5.863,-9273454,311,"Head Before 311"
"1362",58,59,"Head Before",59,326.796,279.675,19.43,12.953,-9736051,311,"Head Before 311"
"1363",59,60,"Head Before",60,331.881,270.522,10.471,6.98,-9799033,311,"Head Before 311"
"1364",60,61,"Head Before",61,330.186,278.319,7.979,5.319,-9733732,311,"Head Before 311"
"1365",61,62,"Head Before",62,326.796,283.065,5.832,3.888,-10191989,311,"Head Before 311"
"1366",62,63,"Head Before",63,326.118,291.879,8.84,5.893,-9996150,311,"Head Before 311"
"1367",63,64,"Head Before",64,326.796,284.082,7.826,5.218,-9732216,311,"Head Before 311"
"1368",64,65,"Head Before",65,332.559,284.76,5.803,3.868,-9930607,311,"Head Before 311"
"1369",65,66,"Head Before",66,341.712,306.117,23.236,15.49,-9800050,311,"Head Before 311"
"1370",66,67,"Head Before",67,352.221,318.66,16.364,10.909,-9405551,311,"Head Before 311"
"1371",67,68,"Head Before",68,347.475,315.948,5.466,3.644,-9604724,311,"Head Before 311"
"1372",68,69,"Head Before",69,343.746,314.592,3.968,2.645,-10262153,311,"Head Before 311"
"1373",69,70,"Head Before",70,345.102,313.914,1.516,1.011,-9536110,311,"Head Before 311"
"1374",70,71,"Head Before",71,336.627,301.032,15.42,10.28,-10063483,311,"Head Before 311"
"1375",71,72,"Head Before",72,334.593,300.354,2.144,1.429,-9799280,311,"Head Before 311"
"1376",72,73,"Head Before",73,341.034,306.795,9.109,6.073,-10456448,311,"Head Before 311"
"1377",73,74,"Head Before",74,340.356,304.422,2.468,1.645,-9733741,311,"Head Before 311"
"1378",74,75,"Head Before",75,339.678,301.032,3.457,2.305,-10194292,311,"Head Before 311"
"1379",75,76,"Head Before",76,342.39,297.981,4.082,2.721,-9732739,311,"Head Before 311"
"1380",76,77,"Head Before",77,346.119,296.625,3.968,2.645,-9866094,311,"Head Before 311"
"1381",77,78,"Head Before",78,340.356,299.676,6.521,4.347,-10061166,311,"Head Before 311"
"1382",78,79,"Head Before",79,340.356,300.354,0.678,0.452,-10259324,311,"Head Before 311"
"1383",79,80,"Head Before",80,339.678,301.71,1.516,1.011,-10191999,311,"Head Before 311"
"1384",80,81,"Head Before",81,341.034,299.676,2.445,1.63,-9929330,311,"Head Before 311"
"1385",81,82,"Head Before",82,343.068,301.71,2.877,1.918,-9864564,311,"Head Before 311"
"1386",82,83,"Head Before",83,350.187,301.032,7.151,4.767,-10192765,311,"Head Before 311"
"1387",83,84,"Head Before",84,346.119,299.676,4.288,2.859,-10588546,311,"Head Before 311"
"1388",84,85,"Head Before",85,343.068,301.032,3.339,2.226,-9798009,311,"Head Before 311"
"1389",85,86,"Head Before",86,341.712,301.032,1.356,0.904,-10391686,311,"Head Before 311"
"1390",86,87,"Head Before",87,339,301.032,2.712,1.808,-10388612,311,"Head Before 311"
"1391",87,88,"Head Before",88,343.068,296.625,5.998,3.998,-10785658,311,"Head Before 311"
"1392",88,89,"Head Before",89,343.068,296.625,0,0,-10128247,311,"Head Before 311"
"1393",89,90,"Head Before",90,343.068,296.625,0,0,-10916215,311,"Head Before 311"
"1394",90,91,"Head Before",91,341.712,297.303,1.516,1.011,-10782604,311,"Head Before 311"
"1395",91,92,"Head Before",92,341.712,297.303,0,0,-10847877,311,"Head Before 311"
"1396",92,93,"Head Before",93,340.356,298.998,2.171,1.447,-11114631,311,"Head Before 311"
"1397",93,94,"Head Before",94,341.712,298.998,1.356,0.904,-11180937,311,"Head Before 311"
"1398",94,95,"Head Before",95,337.305,300.354,4.611,3.074,-9998195,311,"Head Before 311"
"1399",95,96,"Head Before",96,339,295.947,4.722,3.148,-10455688,311,"Head Before 311"
"1400",96,97,"Head Before",97,335.949,295.947,3.051,2.034,-10323575,311,"Head Before 311"
"1401",97,98,"Head Before",98,335.271,295.947,0.678,0.452,-10782856,311,"Head Before 311"
"1402",98,99,"Head Before",99,335.271,296.625,0.678,0.452,-10390128,311,"Head Before 311"
"1403",99,100,"Head Before",100,335.949,297.981,1.516,1.011,-10918792,311,"Head Before 311"
"1404",100,101,"Head Before",101,340.356,295.269,5.175,3.45,-10848898,311,"Head Before 311"
"1405",101,103,"Tail Before",2,212.892,234.927,3.865,2.577,-8421264,311,"Tail Before 311"
"1406",102,104,"Tail Before",3,210.858,236.283,2.445,1.63,-9146242,311,"Tail Before 311"
"1407",103,105,"Tail Before",4,206.79,235.605,4.124,2.749,-9340048,311,"Tail Before 311"
"1408",104,106,"Tail Before",5,208.146,236.961,1.918,1.278,-9470612,311,"Tail Before 311"
"1409",105,107,"Tail Before",6,207.468,240.69,3.79,2.527,-9536403,311,"Tail Before 311"
"1410",106,108,"Tail Before",7,210.18,245.436,5.466,3.644,-8813203,311,"Tail Before 311"
"1411",107,109,"Tail Before",8,209.502,280.353,34.924,23.282,-9076361,311,"Tail Before 311"
"1412",108,110,"Tail Before",9,200.349,314.592,35.441,23.628,-9666190,311,"Tail Before 311"
"1413",109,111,"Tail Before",10,206.112,334.932,21.141,14.094,-9667738,311,"Tail Before 311"
"1414",110,113,"Tail Before",11,204.417,334.254,0.678,0.452,-9075336,311,"Tail Before 311"
"1415",111,114,"Tail Before",12,204.417,333.576,0.678,0.452,-9469316,311,"Tail Before 311"
"1416",112,115,"Tail Before",13,203.061,332.898,1.516,1.011,-10197407,311,"Tail Before 311"
"1417",113,116,"Tail Before",14,205.095,332.898,2.034,1.356,-10588313,311,"Tail Before 311"
"1418",114,117,"Tail Before",15,190.857,366.459,36.456,24.304,-10461080,311,"Tail Before 311"
"1419",115,118,"Tail Before",16,185.433,390.528,24.673,16.448,-8549760,311,"Tail Before 311"
"1420",116,119,"Tail Before",17,181.704,392.562,4.248,2.832,-9271937,311,"Tail Before 311"
"1421",117,120,"Tail Before",18,181.704,391.884,0.678,0.452,-9276038,311,"Tail Before 311"
"1422",118,121,"Tail Before",19,181.704,392.562,0.678,0.452,-9798554,311,"Tail Before 311"
"1423",119,122,"Tail Before",20,181.704,392.562,0,0,-10456727,311,"Tail Before 311"
"1424",120,123,"Tail Before",21,178.992,391.884,2.795,1.864,-10718618,311,"Tail Before 311"
"1425",121,124,"Tail Before",22,178.314,394.935,3.125,2.084,-10061451,311,"Tail Before 311"
"1426",122,125,"Tail Before",23,184.755,406.8,13.501,9,-10260888,311,"Tail Before 311"
"1427",123,126,"Tail Before",24,228.147,406.8,43.392,28.928,-9798277,311,"Tail Before 311"
"1428",124,127,"Tail Before",25,254.928,402.732,27.088,18.059,-9797758,311,"Tail Before 311"
"1429",125,128,"Tail Before",26,260.691,392.562,11.689,7.793,-9666441,311,"Tail Before 311"
"1430",126,129,"Tail Before",27,287.811,367.815,36.714,24.476,-9930383,311,"Tail Before 311"
"1431",127,130,"Tail Before",28,312.558,328.83,46.176,30.784,-10126972,311,"Tail Before 311"
"1432",128,131,"Tail Before",29,337.305,293.235,43.352,28.902,-9996178,311,"Tail Before 311"
"1433",129,132,"Tail Before",30,346.797,282.387,14.414,9.61,-9868173,311,"Tail Before 311"
"1434",130,133,"Tail Before",31,353.916,284.76,7.504,5.003,-9995656,311,"Tail Before 311"
"1435",131,134,"Tail Before",32,355.95,284.76,2.034,1.356,-10652826,311,"Tail Before 311"
"1436",132,135,"Tail Before",33,358.662,285.438,2.795,1.864,-10719383,311,"Tail Before 311"
"1437",133,136,"Tail Before",34,369.51,284.76,10.869,7.246,-10128024,311,"Tail Before 311"
"1438",134,137,"Tail Before",35,365.781,288.15,5.04,3.36,-9996703,311,"Tail Before 311"
"1439",135,138,"Tail Before",36,355.272,288.15,10.509,7.006,-10325391,311,"Tail Before 311"
"1440",136,139,"Tail Before",37,357.984,286.116,3.39,2.26,-10322321,311,"Tail Before 311"
"1441",137,140,"Tail Before",38,353.916,281.709,5.998,3.998,-9730431,311,"Tail Before 311"
"1442",138,141,"Tail Before",39,354.594,284.082,2.468,1.645,-9998217,311,"Tail Before 311"
"1443",139,142,"Tail Before",40,354.594,284.082,0,0,-10517906,311,"Tail Before 311"
"1444",140,143,"Tail Before",41,357.306,285.438,3.032,2.021,-10458758,311,"Tail Before 311"
"1445",141,144,"Tail Before",42,355.95,286.116,1.516,1.011,-9599124,311,"Tail Before 311"
"1446",142,145,"Tail Before",43,352.221,286.794,3.79,2.527,-10922401,311,"Tail Before 311"
"1447",143,146,"Tail Before",44,352.221,286.794,0,0,-10122631,311,"Tail Before 311"
"1448",144,147,"Tail Before",45,356.628,286.116,4.459,2.973,-10587546,311,"Tail Before 311"
"1449",145,148,"Tail Before",46,357.984,284.76,1.918,1.278,-9729667,311,"Tail Before 311"
"1450",146,149,"Tail Before",47,357.984,284.76,0,0,-9532035,311,"Tail Before 311"
"1451",147,150,"Tail Before",48,355.272,283.065,3.198,2.132,-10520212,311,"Tail Before 311"
"1452",148,151,"Tail Before",49,355.272,283.065,0,0,-13548212,311,"Tail Before 311"
